Difficulty, Item, Score, Miss, Combo, MaxCombo, Time, Date
MainScene,1,100,0,1,1,2.619998,20230524055207
MainScene,2,200,0,1,1,8.520005,20230524055213
MainScene,3,350,0,2,2,12.02009,20230524055216
MainScene,4,450,0,1,2,22.56033,20230524055227
MainScene,5,550,0,1,2,28.50046,20230524055233
