Difficulty, Item, Score, Miss, Combo, MaxCombo, Time, Date
MainScene,1,100,0,1,1,2.219999,20230524055123
MainScene,2,250,0,2,2,3.779997,20230524055125
MainScene,3,350,0,1,2,9.880036,20230524055131
MainScene,4,450,0,1,2,15.66017,20230524055137
MainScene,5,500,1,1,2,20.90029,20230524055142
