Difficulty, Item, Score, Miss, Combo, MaxCombo, Time, Date
MainScene,1,100,0,1,1,2.419998,20230524053520
MainScene,2,250,0,2,2,4.339997,20230524053521
MainScene,3,350,0,1,2,10.32005,20230524053527
MainScene,4,400,1,1,2,15.84017,20230524053533
MainScene,5,500,1,1,2,21.22029,20230524053538
