Difficulty, Item, Score, Miss, Combo, MaxCombo, Time, Date
MainScene,1,100,0,1,1,5.459996,20230524054015
MainScene,2,250,0,2,2,8.920014,20230524054018
MainScene,3,300,1,1,2,14.30014,20230524054024
